Action,aksie,
App Name,Program Naam,
Archived,argief,
Avatar,op die regte pad,
Call,Call,
Chat,chat,
Client,kliënt,
Compact Item Print,Kompakte Item Druk,
Consultant,konsultant,
Country,land,
Email,EMail,
Employee Name,Werknemer Naam,
Error Message,Foutboodskap,
Facebook,Facebook,
First Name,Eerste naam,
High,hoë,
In Progress,In Progress,
Is Billing Contact,Is faktureringskontak,
Is Your Company Address,Is u maatskappy se adres,
Keyboard Shortcuts,Sleutelbord kortpaaie,
Last Name,Van,
Lost,verloor,
Low,lae,
Middle Name,Middelnaam,
New,nuwe,
Normal,Normaal,
Notes,notas,
On Hold,On Hold,
Phone,Foon,
Print UOM after Quantity,Druk UOM na hoeveelheid uit,
Print taxes with zero amount,Druk belasting met nul bedrag,
Priority,prioriteit,
Project Name,Projek Naam,
Qualification,kwalifikasie,
Reload,Reload,
SMS,SMS,
Scheduled,geskeduleer,
Service,diens,
Session Defaults,Sessie verstek,
Sync,Sync,
System Manager,Stelselbestuurder,
Tax Category,Belastingkategorie,
Title,Titel,
Topic,onderwerp,
Urgent,dringende,
View Website,Besigtig webwerf,
Web Form,Web vorm,
WhatsApp,WhatsApp,
