Action,حدث,
App Name,اسم التطبيق,
Archived,أرشفة,
Avatar,الصورة الرمزية,
Call,أتصال,
Chat,الدردشة,
Client,عميل,
Compact Item Print,مدمجة البند طباعة,
Consultant,مستشار,
Country,الدولة,
Email,البريد الإلكتروني,
Employee Name,اسم الموظف,
Error Message,رسالة خطأ,
Facebook,الفيسبوك,
First Name,الاسم الأول,
High,مستوى عالي,
In Progress,في تَقَدم,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Last Name,اسم العائلة,
Lost,مفقود,
Low,منخفض,
Middle Name,الاسم الأوسط,
New,جديد,
Normal,عادي,
Notes,ملاحظات,
On Hold,في الانتظار,
Phone,هاتف,
Print UOM after Quantity,اطبع UOM بعد الكمية,
Print taxes with zero amount,طباعة الضرائب مع مبلغ صفر,
Priority,أفضلية,
Project Name,اسم المشروع,
Qualification,المؤهل,
Reload,تحديث,
SMS,رسالة قصيرة,
Scheduled,من المقرر,
Service,خدمة,
Session Defaults,الجلسة الافتراضية,
Sync,مزامنة,
System Manager,مدير النظام,
Tax Category,الفئة الضريبية,
Title,اللقب,
Topic,موضوع,
Urgent,عاجل,
View Website,مشاهدة الموقع,
Web Form,نموذج ويب,
WhatsApp,ال WhatsApp,
