"About","Пра сістэму",
"Action","Дзеянне",
"Actions","Дзеянні",
"Active","Актыўны",
"Add","Дадаць",
"Add {0}","Дадаць {0}",
"+ Add","+ Дадаць",
"Add New","Дадаць новы",
"Add New {0}","Дадаць новы {0}",
"Add New {}","Дадаць новы {}",
"Add a Filter","Дадаць фільтр",
"Add/Update Filter","Дадаць/абнавіць фільтр",
"Add Column","Дадаць слупок",
"Add Field","Дадаць поле",
"Add Row","Дадаць радок",
"Add Rows","Дадаць радкі",
"Add Child","Дадаць даччыну",
"Add Tab","Дадаць укладку",

"AI Settings","Налады ІІ",
"Application","Прыкладанне",
"App Logo","Лагатып прыкладання",
"App Name","Назва прыкладання",

"Archived","Архіўныя",
"Archive","Архіваваць",
"Unarchive","Разархіваваць",

"Avatar","Аватар",

"Basic Info","Асноўная інфармацыя",
"Beta","Бэта",
"Begin typing for results.","Пачніце ўвод для пошуку",
"Begin typing for results..","Пачніце ўвод для пошуку вынікаў.",

"Bot Settings","Налады бота",
"Bot Settings Images","Выявы налад бота",

"Bulk Transaction","Масавая аперацыя",

"Call","Званок",
"Cancel","Адмяніць",
"Cancel Changes","Адмяніць змены",
"Case","Кейс",
"Change Password","Змяніць пароль",
"Chat","Чат",
"Chats","Чаты",
"Child Tables are shown as tables in other documents.","Даччыныя табліцы паказваюцца як табліцы ў іншых дакументах.",

"Clear","Ачысціць",
"Clear Filters","Ачысціць фільтры",

"Client","Кліент",
"Client Portal","Партал кліента",
"Close","Закрыць",
"Closed – Not Converted","Закрыта — не канвертавана",
"Closed by Operator","Закрыта аператарам",
"Closed by Timeout","Закрыта па таймаўце",
"Closed – No Messages","Закрыта — без паведамленняў",

"Compact Item Print","Кампактны друк пазіцыі",
"Community","Супольнасць",
"Communication","Камунікацыя",
"Company","Кампанія",
"Copied to clipboard","Скапіявана ў буфер абмену",
"Copy","Капіяваць",
"Copy Link","Капіяваць спасылку",
"Copy to Clipboard","Капіяваць у буфер абмену",

"Consultant","Кансультант",
"Contacts","Кантакты",
"Control Center","Цэнтр кіравання",
"Control X-ray","Кантрольны здымак",

"Country","Краіна",
"Create","Стварыць",
"Create {0}","Стварыць {0}",
"Create user","Стварыць карыстальніка",
"Create User","Стварыць карыстальніка",
"Create User Email","Стварыць ліст карыстальніку",
"Created By","Створана карыстальнікам",
"Created On","Створана",

"CRM","CRM",
"CRM Space","CRM-прастора",
"CRM Board","Дошка CRM",

"Customize","Наладзіць",
"Customize Form","Наладзіць форму",
"Customization","Карыстальніцкае",

"Dashboard View","Панэль",
"Date ranges","Дыяпазоны дат",
"Days","Дні",

"Deal Completed","Здзелку завершана",
"Deals","Здзелкі",
"Deals – Contact Center","Здзелкі – Кантакт-цэнтр",

"Default","Па змаўчанні",
"Delete","Выдаліць",
"Delete Row","Выдаліць радок",
"Description","Апісанне",

"DocType","Тып дакумента",
"Document States","Станы дакумента",
"Documentation","Дакументацыя",
"Documentation Link","Спасылка на дакументацыю",

"Duplicate","Дубляваць",

"EDI","Электронны абмен данымі",
"Edit","Рэдагаваць",
"Edit DocType","Рэдагаваць DocType",
"Edit Filters","Змяніць фільтры",
"Edit Settings","Змяніць налады",

"Email","Эл. адрас",
"Email Settings","Налады электроннай пошты",
"Employee Name","Імя супрацоўніка",

"Enable","Уключыць",
"Disable","Выключыць",

"Enables Calendar and Gantt views.","Уключае прагляды Каляндара і Ганта.",

"Engagement Boards","Дошкі ўзаемадзеянняў",
"Engagement Case","Кейс узаемадзеяння",
"Engineering","Інжынірынг",

"Enter","Увод",

"ERPNext Integration","Інтэграцыя ERPNext",

"Error","Памылка",
"Error Message","Паведамленне пра памылку",

"Experimental","Эксперыментальна",
"External User ID","Вонкавы ID карыстальніка",

"Facebook","Facebook",

