Action,Действие,
App Name,App име,
Archived,Архивиран,
Avatar,Аватар,
Call,Повикване,
Chat,Чат,
Client,Клиент,
Compact Item Print,Компактен печат на елементи,
Consultant,Консултант,
Country,Страна,
Email,електронна поща,
Employee Name,Служител Име,
Error Message,Съобщение за грешка,
Facebook,Facebook,
First Name,Име,
High,Високо,
In Progress,Напред,
Is Billing Contact,Контакт за фактуриране,
Is Your Company Address,Вашата компания Адрес,
Keyboard Shortcuts,Комбинация от клавиши,
Last Name,Фамилия,
Lost,загубен,
Low,Нисък,
Middle Name,Презиме,
New,нов,
Normal,нормален,
Notes,Бележки,
On Hold,На изчакване,
Phone,Телефон,
Print UOM after Quantity,Отпечатайте UOM след Количество,
Print taxes with zero amount,Печатайте данъци с нулева сума,
Priority,Приоритет,
Project Name,Име на проекта,
Qualification,Квалификация,
Reload,Презареди,
SMS,SMS,
Scheduled,Планиран,
Service,Обслужване,
Session Defaults,Сесия по подразбиране,
Sync,Sync,
System Manager,Мениджър на система,
Tax Category,Данъчна категория,
Title,Заглавие,
Topic,Тема,
Urgent,Спешно,
View Website,Виж Website,
Web Form,Web Form,
WhatsApp,WhatsApp,
