Action,Acció,
App Name,Nom App,
Archived,Arxivat,
Avatar,Avatar,
Call,Truca,
Chat,Chat,
Client,Client,
Compact Item Print,Compacte article Imprimir,
Consultant,Consultor,
Country,País,
Email,Correu electrònic,
Employee Name,Nom de l'Empleat,
Error Message,Missatge d&#39;error,
Facebook,Facebook,
First Name,Nom,
High,Alt,
In Progress,En progrés,
Is Billing Contact,És el contacte de facturació,
Is Your Company Address,La seva adreça és l&#39;empresa,
Keyboard Shortcuts,Dreceres de teclat,
Last Name,Cognoms,
Lost,Perdut,
Low,Sota,
Middle Name,Segon nom,
New,Nou,
Normal,Normal,
Notes,Notes,
On Hold,En espera,
Phone,Telèfon,
Print UOM after Quantity,Imprimiu UOM després de Quantity,
Print taxes with zero amount,Imprimiu impostos amb import zero,
Priority,Prioritat,
Project Name,nom del projecte,
Qualification,Qualificació,
Reload,Recarregar,
SMS,SMS,
Scheduled,Programat,
Service,Servei,
Session Defaults,Defectes predeterminats de la sessió,
Sync,Sincronitzar,
System Manager,Administrador del sistema,
Tax Category,Categoria Tributària,
Title,Títol,
Topic,tema,
Urgent,Urgent,
View Website,Veure Lloc Web,
Web Form,Formulari Web,
WhatsApp,Què tal,
