Action,Handling,
App Name,App navn,
Archived,Arkiveret,
Avatar,Avatar,
Call,Opkald,
Chat,Chat,
Client,Klient,
Compact Item Print,Kompakt Item Print,
Consultant,Konsulent,
Country,Land,
Email,EMail,
Employee Name,Medarbejdernavn,
Error Message,Fejl besked,
Facebook,Facebook,
First Name,Fornavn,
High,Høj,
In Progress,I gang,
Is Billing Contact,Er faktureringskontakt,
Is Your Company Address,Er din virksomhedsadresse,
Keyboard Shortcuts,Tastaturgenveje,
Last Name,Efternavn,
Lost,Tabt,
Low,Lav,
Middle Name,Mellemnavn,
New,Ny,
Normal,Normal,
Notes,Noter,
On Hold,I venteposition,
Phone,Telefonnr.,
Print UOM after Quantity,Udskriv UOM efter antal,
Print taxes with zero amount,Udskriv skatter med nul beløb,
Priority,Prioritet,
Project Name,Sagsnavn,
Qualification,Kvalifikation,
Reload,Genindlæs,
SMS,SMS,
Scheduled,Planlagt,
Service,Service,
Session Defaults,Standard for session,
Sync,Synkronisere,
System Manager,System Manager,
Tax Category,Skatskategori,
Title,Titel,
Topic,Emne,
Urgent,Hurtigst muligt,
View Website,Se hjemmeside,
Web Form,Web Form,
WhatsApp,WhatsApp,
