Action,Ενέργεια,
App Name,Όνομα εφαρμογής,
Archived,Αρχειοθετήθηκε,
Avatar,Avatar,
Call,Κλήση,
Chat,Κουβέντα,
Client,Πελάτης,
Compact Item Print,Compact Στοιχείο Εκτύπωση,
Consultant,Σύμβουλος,
Country,Χώρα,
Email,ΗΛΕΚΤΡΟΝΙΚΗ ΔΙΕΥΘΥΝΣΗ,
Employee Name,όνομα υπαλλήλου,
Error Message,Μήνυμα λάθους,
Facebook,Facebook,
First Name,Όνομα,
High,Υψηλός,
In Progress,Σε εξέλιξη,
Is Billing Contact,Είναι επαφή χρέωσης,
Is Your Company Address,Η εταιρεία σας Διεύθυνση,
Keyboard Shortcuts,Συντομεύσεις πληκτρολογίου,
Last Name,Επώνυμο,
Lost,Απολεσθέν,
Low,Χαμηλός,
Middle Name,Μεσαίο όνομα,
New,Νέος,
Normal,Κανονικός,
Notes,Σημειώσεις,
On Hold,Σε κράτηση,
Phone,Τηλέφωνο,
Print UOM after Quantity,Εκτύπωση UOM μετά την ποσότητα,
Print taxes with zero amount,Εκτυπώστε φόρους με μηδενικό ποσό,
Priority,Προτεραιότητα,
Project Name,Όνομα έργου,
Qualification,Προσόν,
Reload,Επαναφόρτωση,
SMS,γραπτό μήνυμα,
Scheduled,Προγραμματισμένη,
Service,Υπηρεσία,
Session Defaults,Προεπιλογές περιόδου σύνδεσης,
Sync,Συγχρονισμός,
System Manager,Διαχειριστής συστήματος,
Tax Category,Φορολογική κατηγορία,
Title,Τίτλος,
Topic,Θέμα,
Urgent,Επείγον,
View Website,Δείτε την ιστοσελίδα,
Web Form,Φόρμα ιστοσελίδας,
WhatsApp,WhatsApp,
