About,crwdns112978:0crwdne112978:0,
Action,crwdns113020:0crwdne113020:0,
App Name,crwdns113534:0crwdne113534:0,
Apps,crwdns148374:0crwdne148374:0,
Archived,crwdns143966:0crwdne143966:0,
Avatar,crwdns144072:0crwdne144072:0,
Call,crwdns114314:0crwdne114314:0,
Chat,crwdns144342:0crwdne144342:0,
Client,crwdns144368:0crwdne144368:0,
Country,crwdns115148:0crwdne115148:0,
Created At,crwdns144514:0crwdne144514:0,
Email,crwdns116472:0crwdne116472:0,
Error Message,crwdns144978:0crwdne144978:0,
Facebook,crwdns145046:0crwdne145046:0,
First Name,crwdns117366:0crwdne117366:0,
Frappe Support,crwdns117604:0crwdne117604:0,
High,crwdns118132:0crwdne118132:0,
In Progress,crwdns118458:0crwdne118458:0,
Keyboard Shortcuts,crwdns118988:0crwdne118988:0,
Last Name,crwdns119140:0crwdne119140:0,
Log out,crwdns119460:0crwdne119460:0,
Low,crwdns119548:0crwdne119548:0,
Middle Name,crwdns146028:0crwdne146028:0,
My Profile,crwdns120052:0crwdne120052:0,
My Settings,crwdns120054:0crwdne120054:0,
New,crwdns120138:0crwdne120138:0,
On Hold,crwdns146222:0crwdne146222:0,
Phone,crwdns146396:0crwdne146396:0,
Priority,crwdns121706:0crwdne121706:0,
Reload,crwdns122270:0crwdne122270:0,
SMS,crwdns146820:0crwdne146820:0,
Scheduled,crwdns122950:0crwdne122950:0,
Service,crwdns147006:0crwdne147006:0,
Session Defaults,crwdns123422:0crwdne123422:0,
Sync,crwdns147266:0crwdne147266:0,
System Manager,crwdns124296:0crwdne124296:0,
Title,crwdns124810:0crwdne124810:0,
Toggle Full Width,crwdns124932:0crwdne124932:0,
Toggle Theme,crwdns124940:0crwdne124940:0,
Topic,crwdns147472:0crwdne147472:0,
View Website,crwdns125722:0crwdne125722:0,
Web Form,crwdns125784:0crwdne125784:0,
