Action,Toiminto,
App Name,sovelluksen nimi,
Archived,Arkistoidut,
Avatar,Avatar,
Call,pyyntö,
Chat,Pikaviestintä,
Client,Asiakas,
Compact Item Print,Compact Tuote Tulosta,
Consultant,konsultti,
Country,Maa,
Email,Sähköpostiosoite,
Employee Name,työntekijän nimi,
Error Message,Virheviesti,
Facebook,Facebook,
First Name,Etunimi,
High,korkeus,
In Progress,Käynnissä,
Is Billing Contact,Onko laskutusyhteyshenkilö,
Is Your Company Address,Is Your Company Osoite,
Keyboard Shortcuts,Pikanäppäimet,
Last Name,Sukunimi,
Lost,Hävitty,
Low,Alhainen,
Middle Name,Toinen nimi,
New,Uusi,
Normal,normaali,
Notes,Muistiinpanot,
On Hold,Pidossa,
Phone,Puhelin,
Print UOM after Quantity,Tulosta UOM määrän jälkeen,
Print taxes with zero amount,"Tulosta verot, joiden summa on nolla",
Priority,prioriteetti,
Project Name,projektin nimi,
Qualification,pätevyys,
Reload,Päivitä,
SMS,Tekstiviesti,
Scheduled,Aikataulutettu,
Service,Palvelu,
Session Defaults,Istunnon oletukset,
Sync,Synkronointi,
System Manager,Järjestelmän ylläpitäjä,
Tax Category,Veroluokka,
Title,otsikko,
Topic,Aihe,
Urgent,Kiireellinen,
View Website,Näytä verkkosivusto,
Web Form,Verkkosivun Lomake,
WhatsApp,WhatsApp,
