About,A Propos,
Action,Action,
App Name,Nom de l'App,
Archived,Archivé,
Call,Appeler,
Chat,Chat,
Client,Client,
Compact Item Print,Impression de l'Article Compacté,
Consultant,Consultant,
Country,Pays,
Email,Email,
Employee Name,Nom de l'Employé,
Error Message,Message d'erreur,
First Name,Prénom,
High,Haut,
In Progress,En cours,
Keyboard Shortcuts,Raccourcis clavier,
Last Name,Nom de Famille,
Lost,Perdu,
Low,Bas,
Middle Name,Deuxième Nom,
My Profile,Mon profil,
My Settings,Mes paramètres,
New,Nouveau,
Normal,Ordinaire,
Notes,Remarques,
On Hold,En attente,
Phone,Téléphone,
Print UOM after Quantity,Imprimer UdM après la quantité,
Print taxes with zero amount,Impression de taxes avec un montant nul,
Priority,Priorité,
Project Name,nom du projet,
Qualification,Qualification,
Reload,Recharger,
Scheduled,Prévu,
Service,Service,
Session Defaults,Session par défaut,
Sync,Synchronisation,
System Manager,Responsable Système,
Tax Category,Catégorie de taxe,
Title,Titre,
Toggle Full Width,Changer l&#39;affichage en pleine largeur,
Toggle Theme,Basculer le thème,
Topic,Sujet,
Urgent,Urgent,
View Website,Voir Le Site Web,
Web Form,Formulaire Web,
WhatsApp,WhatsApp,
