Action,ક્રિયા,
App Name,એપ્લિકેશન નામ,
Archived,પેટીવાળી,
Avatar,અવતાર,
Call,કૉલ,
Chat,ચેટ,
Client,ક્લાઈન્ટ,
Compact Item Print,કોમ્પેક્ટ વસ્તુ છાપો,
Consultant,સલાહકાર,
Country,દેશ,
Email,ઇમેઇલ,
Employee Name,કર્મચારીનું નામ,
Error Message,ક્ષતી સંદેશ,
Facebook,ફેસબુક,
First Name,પ્રથમ નામ,
High,હાઇ,
In Progress,પ્રગતિમાં,
Is Billing Contact,બિલિંગ સંપર્ક છે,
Is Your Company Address,તમારી કંપની સરનામું,
Keyboard Shortcuts,કીબોર્ડ શૉર્ટકટ્સ,
Last Name,છેલ્લું નામ,
Lost,લોસ્ટ,
Low,લો,
Middle Name,પિતાનું નામ,
New,નવું,
Normal,સામાન્ય,
Notes,નોંધો,
On Hold,હોલ્ડ પર,
Phone,ફોન,
Print UOM after Quantity,જથ્થા પછી યુઓએમ છાપો,
Print taxes with zero amount,શૂન્ય રકમ સાથે કર છાપો,
Priority,પ્રાધાન્યતા,
Project Name,પ્રોજેક્ટ નામ,
Qualification,લાયકાત,
Reload,ફરી લાવો,
SMS,એસએમએસ,
Scheduled,અનુસૂચિત,
Service,સેવા,
Session Defaults,સત્ર ડિફોલ્ટ્સ,
Sync,સમન્વયન,
System Manager,સિસ્ટમ વ્યવસ્થાપક,
Tax Category,ટેક્સ કેટેગરી,
Title,શીર્ષક,
Topic,વિષય,
Urgent,અર્જન્ટ,
View Website,વેબસાઇટ જુઓ,
Web Form,વેબ ફોર્મ,
WhatsApp,વોટ્સેપ,
