Action,פעולה,
App Name,שם אפליקציה,
Archived,ארכיון,
Avatar,תמונה,
Call,שיחה,
Chat,צ'אט,
Client,הלקוח,
Compact Item Print,הדפס פריט קומפקט,
Consultant,יועץ,
Country,מדינה,
Email,"דוא""ל",
Employee Name,שם עובד,
Error Message,הודעת שגיאה,
Facebook,פייסבוק,
First Name,שם פרטים,
High,גבוה,
In Progress,בתהליך,
Is Billing Contact,האם איש קשר לחיוב,
Is Your Company Address,האם כתובת החברה שלך,
Keyboard Shortcuts,קיצורי דרך במקלדת,
Last Name,שם משפחה,
Lost,איבדתי,
Low,נמוך,
Middle Name,שם אמצעי,
New,חָדָשׁ,
Normal,נוֹרמָלִי,
Notes,הערות,
On Hold,בהמתנה,
Phone,טלפון,
Print UOM after Quantity,הדפס UOM לאחר כמות,
Print taxes with zero amount,הדפסת מיסים עם סכום אפס,
Priority,עדיפות,
Project Name,שם פרויקט,
Qualification,הסמכה,
Reload,רענן,
SMS,SMS,
Scheduled,מתוכנן,
Service,שירות,
Session Defaults,ברירות מחדל של מושב,
Sync,סינכרון,
System Manager,מנהל מערכת,
Tax Category,קטגוריית מס,
Title,כותרת,
Topic,נוֹשֵׂא,
Urgent,דחוף,
View Website,אתר צפה ב,
Web Form,טופס אינטרנט,
WhatsApp,ווטסאפ,
