Action,कार्रवाई,
App Name,App नाम,
Archived,संग्रहीत,
Avatar,अवतार,
Call,कॉल,
Chat,बातचीत,
Client,ग्राहक,
Compact Item Print,कॉम्पैक्ट मद प्रिंट,
Consultant,सलाहकार,
Country,देश,
Email,ईमेल,
Employee Name,कर्मचारी का नाम,
Error Message,त्रुटि संदेश,
Facebook,फेसबुक,
First Name,प्रथम नाम,
High,उच्च,
In Progress,चालू,
Is Billing Contact,बिलिंग संपर्क है,
Is Your Company Address,आपकी कंपनी पता है,
Keyboard Shortcuts,कुंजीपटल अल्प मार्ग,
Last Name,सरनेम,
Lost,खोया,
Low,निम्न,
Middle Name,मध्य नाम,
New,नया,
Normal,साधारण,
Notes,नोट्स,
On Hold,होल्ड पर,
Phone,फ़ोन,
Print UOM after Quantity,मात्रा के बाद UOM प्रिंट करें,
Print taxes with zero amount,शून्य राशि के साथ करों को प्रिंट करें,
Priority,प्राथमिकता,
Project Name,इस परियोजना का नाम,
Qualification,योग्यता,
Reload,सीमा से अधिक लादना,
SMS,एसएमएस,
Scheduled,अनुसूचित,
Service,सेवा,
Session Defaults,सत्र चूक,
Sync,सिंक,
System Manager,सिस्टम प्रबंधक,
Tax Category,कर श्रेणी,
Title,शीर्षक,
Topic,विषय,
Urgent,अत्यावश्यक,
View Website,वेबसाइट देखें,
Web Form,वेब फार्म,
WhatsApp,WhatsApp,
