About,O,
Action,Akcija,
App Name,App Naziv,
Archived,Arhivirano,
Avatar,Avatar,
Call,Poziv,
Chat,Razgovor,
Client,Klijent,
Compact Item Print,Kompaktni Stavka Print,
Consultant,Konzultant,
Country,Zemlja,
Email,E-mail,
Employee Name,ime zaposlenika,
Error Message,Poruka o pogrešci,
Facebook,Facebook,
First Name,Ime,
High,Visok,
In Progress,U nastajanju,
Is Billing Contact,Je li kontakt za naplatu,
Is Your Company Address,Je li Vaše poduzeće adresa,
Keyboard Shortcuts,Prečice na tipkovnici,
Last Name,Prezime,
Lost,izgubljen,
Low,Nisko,
Middle Name,Srednje ime,
New,Novi,
Normal,Normalan,
Notes,Zabilješke,
On Hold,Na čekanju,
Phone,Telefon,
Print UOM after Quantity,Ispis UOM-a nakon količine,
Print taxes with zero amount,Ispis poreza s nula iznosa,
Priority,Prioritet,
Project Name,naziv projekta,
Qualification,Kvalifikacija,
Reload,Reload,
SMS,SMS,
Scheduled,Planiran,
Service,usluga,
Session Defaults,Zadani zadaci sesije,
Sync,Sinkronizacija,
System Manager,Sustav Manager,
Tax Category,Porezna kategorija,
Title,Naslov,
Topic,Tema,
Urgent,Hitan,
View Website,Pogledaj web stranicu,
Web Form,Web obrazac,
WhatsApp,Što ima,
