Action,Tindakan,
App Name,Nama App,
Archived,Diarsipkan,
Avatar,Avatar,
Call,Panggilan Telpon,
Chat,Obrolan,
Client,Client (Nasabah),
Compact Item Print,Kompak Barang Cetak,
Consultant,Konsultan,
Country,Negara,
Email,Surel,
Employee Name,nama karyawan,
Error Message,Pesan eror,
Facebook,Facebook,
First Name,Nama Depan,
High,Tinggi,
In Progress,Sedang berlangsung,
Is Billing Contact,Apakah Kontak Penagihan,
Is Your Company Address,Apakah Alamat Perusahaan Anda,
Keyboard Shortcuts,Pintasan keyboard,
Last Name,Nama Belakang,
Lost,Kalah,
Low,Rendah,
Middle Name,Nama tengah,
New,Baru,
Normal,Normal,
Notes,Catatan,
On Hold,Tertahan,
Phone,Telepon,
Print UOM after Quantity,Cetak UOM setelah Kuantitas,
Print taxes with zero amount,Cetak pajak dengan jumlah nol,
Priority,Prioritas,
Project Name,Nama Proyek,
Qualification,Kualifikasi,
Reload,Mengisi kembali,
SMS,SMS,
Scheduled,Dijadwalkan,
Service,Jasa,
Session Defaults,Default Sesi,
Sync,Sinkronkan,
System Manager,System Manager,
Tax Category,Kategori Pajak,
Title,Judul,
Topic,Tema,
Urgent,Mendesak,
View Website,Lihat Situs Web,
Web Form,Formulir web,
WhatsApp,Ada apa,
