Action,aðgerð,
App Name,app Name,
Archived,Eldri,
Avatar,Avatar,
Call,Call,
Chat,Spjallaðu,
Client,viðskiptavinur,
Compact Item Print,Compact Item Prenta,
Consultant,Ráðgjafi,
Country,Land,
Email,Tölvupóstur,
Employee Name,starfsmaður Name,
Error Message,Villu skilaboð,
Facebook,Facebook,
First Name,Fyrsta nafn,
High,Hár,
In Progress,Í vinnslu,
Is Billing Contact,Er tengiliður við innheimtu,
Is Your Company Address,Er fyrirtækið Heimilisfang þitt,
Keyboard Shortcuts,Flýtilyklar,
Last Name,Eftirnafn,
Lost,Lost,
Low,Low,
Middle Name,Millinafn,
New,Nýtt,
Normal,Venjulegt,
Notes,Skýringar,
On Hold,Á bið,
Phone,Sími,
Print UOM after Quantity,Prentaðu UOM eftir magni,
Print taxes with zero amount,Prenta skatta með núll upphæð,
Priority,Forgangur,
Project Name,nafn verkefnis,
Qualification,HM,
Reload,endurhlaða,
SMS,smáskilaboð,
Scheduled,áætlunarferðir,
Service,þjónusta,
Session Defaults,Sjálfgefin seta,
Sync,Samstilla,
System Manager,System Manager,
Tax Category,Skattaflokkur,
Title,Title,
Topic,Topic,
Urgent,Urgent,
View Website,view Website,
Web Form,web Form,
WhatsApp,WhatsApp,
