Action,Azione,
App Name,App Name,
Archived,Archiviato,
Avatar,Avatar,
Call,Chiama,
Chat,Chat,
Client,Intestatario,
Compact Item Print,Compact elemento di stampa,
Consultant,Consulente,
Country,Paese,
Email,E-mail,
Employee Name,Nome dipendente,
Error Message,Messaggio di errore,
Facebook,Facebook,
First Name,Nome,
High,Alto,
In Progress,In corso,
Is Billing Contact,È il contatto per la fatturazione,
Is Your Company Address,È il vostro indirizzo azienda,
Keyboard Shortcuts,Tasti rapidi,
Last Name,Cognome,
Lost,Perso,
Low,Basso,
Middle Name,Secondo nome,
New,Nuovo,
Normal,Normale,
Notes,Note,
On Hold,In attesa,
Phone,Telefono,
Print UOM after Quantity,Stampa UOM dopo la quantità,
Print taxes with zero amount,Stampa le tasse con importo zero,
Priority,Priorità,
Project Name,Nome del progetto,
Qualification,Qualifica,
Reload,Aggiorna,
SMS,sms,
Scheduled,Pianificate,
Service,servizio,
Session Defaults,Sessioni predefinite,
Sync,Sync,
System Manager,System Manager,
Tax Category,Categoria fiscale,
Title,Titolo,
Topic,Argomento,
Urgent,Urgente,
View Website,Visualizza sito web,
Web Form,Modulo web,
WhatsApp,WhatsApp,
