Action,アクション,
App Name,アプリケーション名,
Archived,アーカイブ,
Avatar,アバター,
Call,電話,
Chat,チャット,
Client,クライアント,
Compact Item Print,コンパクトな項目を印刷,
Consultant,コンサルタント,
Country,国,
Email,Eメール,
Employee Name,従業員名,
Error Message,エラーメッセージ,
Facebook,Facebook,
First Name,お名前（名）,
High,高,
In Progress,進行中,
Is Billing Contact,請求先です,
Is Your Company Address,あなたの会社の住所,
Keyboard Shortcuts,キーボードショートカット,
Last Name,お名前（姓）,
Lost,失われた,
Low,低,
Middle Name,ミドルネーム,
New,新着,
Normal,ノーマル,
Notes,ノート,
On Hold,保留,
Phone,電話,
Print UOM after Quantity,数量の後に単位を印刷する,
Print taxes with zero amount,金額ゼロの税金を印刷する,
Priority,優先度,
Project Name,プロジェクト名,
Qualification,資格,
Reload,リロード,
SMS,SMS,
Scheduled,スケジュール設定済,
Service,サービス,
Session Defaults,セッションのデフォルト,
Sync,同期,
System Manager,システム管理者,
Tax Category,課税カテゴリー,
Title,タイトル,
Topic,トピック,
Urgent,緊急,
View Website,ウェブサイトを見る,
Web Form,ウェブフォーム,
WhatsApp,WhatsApp,
