Action,ಕ್ರಿಯೆ,
App Name,ಅಪ್ಲಿಕೇಶನ್ ಹೆಸರು,
Archived,ಆರ್ಕೈವ್,
Avatar,ಅವತಾರ,
Call,ಕರೆ,
Chat,ಚಾಟಿಂಗ್,
Client,ಕಕ್ಷಿಗಾರ,
Compact Item Print,ಕಾಂಪ್ಯಾಕ್ಟ್ ಐಟಂ ಪ್ರಿಂಟ್,
Consultant,ಕನ್ಸಲ್ಟೆಂಟ್,
Country,ದೇಶ,
Email,ಇಮೇಲ್,
Employee Name,ನೌಕರರ ಹೆಸರು,
Error Message,ತಪ್ಪು ಸಂದೇಶ,
Facebook,ಫೇಸ್ಬುಕ್,
First Name,ಮೊದಲ ಹೆಸರು,
High,ಎತ್ತರದ,
In Progress,ಪ್ರಗತಿಯಲ್ಲಿದೆ,
Is Billing Contact,ಬಿಲ್ಲಿಂಗ್ ಸಂಪರ್ಕ,
Is Your Company Address,ನಿಮ್ಮ ಕಂಪನಿ ವಿಳಾಸ,
Keyboard Shortcuts,ಕೀಬೋರ್ಡ್ ಶಾರ್ಟ್‌ಕಟ್‌ಗಳು,
Last Name,ಕೊನೆಯ ಹೆಸರು,
Lost,ಲಾಸ್ಟ್,
Low,ಕಡಿಮೆ,
Middle Name,ಮಧ್ಯದ ಹೆಸರು,
New,ಹೊಸದು,
Normal,ಸಾಧಾರಣ,
Notes,ಟಿಪ್ಪಣಿಗಳು,
On Hold,ಹೋಲ್ಡ್ ಆನ್,
Phone,ದೂರವಾಣಿ,
Print UOM after Quantity,ಪ್ರಮಾಣದ ನಂತರ UOM ಅನ್ನು ಮುದ್ರಿಸಿ,
Print taxes with zero amount,ಶೂನ್ಯ ಮೊತ್ತದೊಂದಿಗೆ ಪ್ರಿಂಟ್ ತೆರಿಗೆಗಳು,
Priority,ಆದ್ಯತೆ,
Project Name,ಪ್ರಾಜೆಕ್ಟ್ ಹೆಸರು,
Qualification,ಅರ್ಹತೆ,
Reload,ರೀಲೋಡ್,
SMS,ಎಸ್ಎಂಎಸ್,
Scheduled,ಪರಿಶಿಷ್ಟ,
Service,ಸೇವೆ,
Session Defaults,ಸೆಷನ್ ಡೀಫಾಲ್ಟ್‌ಗಳು,
Sync,ಸಿಂಕ್,
System Manager,ವ್ಯವಸ್ಥೆ ಮ್ಯಾನೇಜರ್,
Tax Category,ತೆರಿಗೆ ವರ್ಗ,
Title,ಶೀರ್ಷಿಕೆ,
Topic,ವಿಷಯ,
Urgent,ತುರ್ತಿನ,
View Website,ವೀಕ್ಷಿಸಿ ವೆಬ್ಸೈಟ್,
Web Form,ವೆಬ್ ಫಾರ್ಮ್,
WhatsApp,ವಾಟ್ಸಾಪ್,
