Action,수행,
App Name,앱 이름,
Archived,보관,
Avatar,화신,
Call,전화,
Chat,채팅,
Client,클라이언트,
Compact Item Print,컴팩트 항목 인쇄,
Consultant,컨설턴트,
Country,국가,
Email,이메일,
Employee Name,직원 이름,
Error Message,에러 메시지,
Facebook,페이스북,
First Name,이름,
High,높음,
In Progress,진행 중,
Is Billing Contact,결제 연락처,
Is Your Company Address,귀하의 회사 주소입니다,
Keyboard Shortcuts,키보드 단축키,
Last Name,성,
Lost,상실,
Low,낮음,
Middle Name,중간 이름,
New,새로운,
Normal,표준,
Notes,노트,
On Hold,보류 중,
Phone,휴대폰,
Print UOM after Quantity,수량 후 UOM 인쇄,
Print taxes with zero amount,금액이없는 세금 인쇄,
Priority,우선순위,
Project Name,프로젝트 이름,
Qualification,자격,
Reload,다시로드,
SMS,SMS,
Scheduled,예약된,
Service,서비스,
Session Defaults,세션 기본값,
Sync,동조,
System Manager,시스템 관리자,
Tax Category,세금 카테고리,
Title,제목,
Topic,이야기,
Urgent,긴급한,
View Website,웹 사이트보기,
Web Form,웹 폼,
WhatsApp,WhatsApp,
