Action,Çalakî,
App Name,Navê App,
Archived,arşîvkirin,
Avatar,Avatar,
Call,Bang,
Chat,Galgalî,
Client,Kirrîxwaz,
Compact Item Print,Babetê Compact bo çapkirinê,
Consultant,Şêwirda,
Country,Welat,
Email,Email,
Employee Name,Navê xebatkara,
Error Message,Peyama çewtiyê,
Facebook,facebook,
First Name,Nav,
High,Bilind,
In Progress,Ez teslîm nabim,
Is Billing Contact,Têkiliya Billing e,
Is Your Company Address,E Company te Address,
Keyboard Shortcuts,Kurtikên Pêl,
Last Name,Paşnav,
Lost,Windabû,
Low,Nizm,
Middle Name,Navê navbendî,
New,Nşh,
Normal,Normal,
Notes,Notes,
On Hold,Li Hold,
Phone,Phone,
Print UOM after Quantity,Li dû Hêmanê UOM çap bikin,
Print taxes with zero amount,Bacê bi mûzek zûtirîn çap bikin,
Priority,Pêşeyî,
Project Name,Navê Project,
Qualification,Zanyarî,
Reload,Rûpelê,
SMS,SMS,
Scheduled,scheduled,
Service,Xizmetkar,
Session Defaults,Session Defaults,
Sync,Sync,
System Manager,sîstema Manager,
Tax Category,Kategoriya Bacê,
Title,Nav,
Topic,Mijar,
Urgent,Acîl,
View Website,View Website,
Web Form,Form Web,
WhatsApp,WhatsApp,
