Action,ການປະຕິບັດ,
App Name,ຊື່ App,
Archived,ທີ່ຜ່ານມາ,
Avatar,Avatar,
Call,Call,
Chat,ສົນທະນາ,
Client,ລູກຄ້າ,
Compact Item Print,Compact Item Print,
Consultant,ທີ່ປຶກສາ,
Country,ປະເທດ,
Email,ອີເມລ,
Employee Name,ຊື່ພະນັກງານ,
Error Message,ຂໍ້ຄວາມຜິດພາດ,
Facebook,ເຟສບຸກ,
First Name,ຊື່ແທ້,
High,ສູງ,
In Progress,ໃນຄວາມຄືບຫນ້າ,
Is Billing Contact,ແມ່ນຕິດຕໍ່ໃບບິນ,
Is Your Company Address,ທີ່ຢູ່ຂອງບໍລິສັດ,
Keyboard Shortcuts,ຄີບອດ,
Last Name,ນາມສະກຸນ,
Lost,ການສູນເສຍ,
Low,ຕ່ໍາ,
Middle Name,ຊື່ກາງ,
New,ໃຫມ່,
Normal,Normal,
Notes,ອ່ືນ,
On Hold,On Hold,
Phone,ໂທລະສັບ,
Print UOM after Quantity,ພິມ UOM ຫຼັງຈາກປະລິມານ,
Print taxes with zero amount,Print taxes with zero amount,
Priority,ບູລິມະສິດ,
Project Name,ຊື່ໂຄງການ,
Qualification,ຄຸນສົມບັດ,
Reload,ໂຫລດ,
SMS,ຂໍ້ຄວາມ,
Scheduled,ກໍານົດ,
Service,ການບໍລິການ,
Session Defaults,ຄ່າເລີ່ມຕົ້ນຂອງກອງປະຊຸມ,
Sync,Sync,
System Manager,ຈັດການລະບົບ,
Tax Category,ໝວດ ພາສີ,
Title,Title,
Topic,ກະທູ້,
Urgent,ການອັນຮີບດ່ວນ,
View Website,ເບິ່ງເວັບໄຊທ໌,
Web Form,ແບບຟອມ Web,
WhatsApp,WhatsApp,
