Action,क्रिया,
App Name,अनुप्रयोग नाव,
Archived,संग्रहित,
Avatar,अवतार,
Call,कॉल,
Chat,गप्पा,
Client,क्लायंट,
Compact Item Print,संक्षिप्त आयटम मुद्रित,
Consultant,सल्लागार,
Country,देश,
Email,ई-मेल,
Employee Name,कर्मचारी नाव,
Error Message,त्रुटी संदेश,
Facebook,फेसबुक,
First Name,प्रथम नाव,
High,उच्च,
In Progress,प्रगतीपथावर,
Is Billing Contact,बिलिंग संपर्क आहे,
Is Your Company Address,आपल्या  कंपनीचा  पत्ता आहे का ?,
Keyboard Shortcuts,कीबोर्ड शॉर्टकट,
Last Name,गेल्या नाव,
Lost,गमावले,
Low,कमी,
Middle Name,मधले नाव,
New,नवीन,
Normal,सामान्य,
Notes,नोट्स,
On Hold,होल्ड वर,
Phone,फोन,
Print UOM after Quantity,प्रमाणानंतर यूओएम मुद्रित करा,
Print taxes with zero amount,शून्य रकमेसह कर छपाई करा,
Priority,प्राधान्य,
Project Name,प्रकल्प नाव,
Qualification,पात्रता,
Reload,रीलोड करा,
SMS,एसएमएस,
Scheduled,अनुसूचित,
Service,सेवा,
Session Defaults,सत्र डीफॉल्ट,
Sync,संकालन,
System Manager,प्रणाली व्यवस्थापक,
Tax Category,कर श्रेणी,
Title,शीर्षक,
Topic,विषय,
Urgent,त्वरित,
View Website,वेबसाइट पहा,
Web Form,वेब फॉर्म,
WhatsApp,व्हॉट्सअ‍ॅप,
