Action,Tindakan,
App Name,Nama App,
Archived,Arkib,
Avatar,Avatar,
Call,Panggilan,
Chat,Chat,
Client,Pelanggan,
Compact Item Print,Compact Perkara Cetak,
Consultant,Perunding,
Country,Negara,
Email,E-mel,
Employee Name,Nama Pekerja,
Error Message,Mesej Ralat,
Facebook,Facebook,
First Name,Nama Pertama,
High,Tinggi,
In Progress,Dalam Kemajuan,
Is Billing Contact,Adakah Kenalan Pengebilan,
Is Your Company Address,Adakah anda Alamat Syarikat,
Keyboard Shortcuts,Pintasan papan kekunci,
Last Name,Nama Akhir,
Lost,Hilang,
Low,Rendah,
Middle Name,Nama tengah,
New,Baru,
Normal,Normal,
Notes,Nota,
On Hold,Tunggu,
Phone,Telefon,
Print UOM after Quantity,Cetak UOM selepas Kuantiti,
Print taxes with zero amount,Cetak cukai dengan jumlah sifar,
Priority,Keutamaan,
Project Name,Nama Projek,
Qualification,Kelayakan,
Reload,Muat semula,
SMS,SMS,
Scheduled,Berjadual,
Service,Perkhidmatan,
Session Defaults,Default Sesi,
Sync,Segerakkan,
System Manager,Pengurus Sistem,
Tax Category,Kategori Cukai,
Title,Tajuk,
Topic,Topic,
Urgent,Segera,
View Website,Lihat Laman Web,
Web Form,Borang Web,
WhatsApp,WhatsApp,
