Action,Handling,
App Name,App Name,
Archived,Arkivert,
Avatar,Avatar,
Call,Call,
Chat,Chat,
Client,Client,
Compact Item Print,Kompakt Element Skriv ut,
Consultant,Konsulent,
Country,Land,
Email,e-post,
Employee Name,Ansattes Navn,
Error Message,Feilmelding,
Facebook,Facebook,
First Name,Fornavn,
High,Høy,
In Progress,I prosess,
Is Billing Contact,Er faktureringskontakt,
Is Your Company Address,Er din bedrift Adresse,
Keyboard Shortcuts,Tastatursnarveier,
Last Name,Etternavn,
Lost,Mistet,
Low,Lav,
Middle Name,Mellomnavn,
New,Ny,
Normal,Normal,
Notes,Notater,
On Hold,På vent,
Phone,Telefon,
Print UOM after Quantity,Skriv ut UOM etter antall,
Print taxes with zero amount,Skriv ut avgifter med null beløp,
Priority,Prioritet,
Project Name,prosjektnavn,
Qualification,Kvalifisering,
Reload,Last,
SMS,tekstmelding,
Scheduled,Planlagt,
Service,Tjeneste,
Session Defaults,Økt mislighold,
Sync,Sync,
System Manager,System Manager,
Tax Category,Skattekategori,
Title,Tittel,
Topic,Emne,
Urgent,Haster,
View Website,Vis nettstedet,
Web Form,Web Form,
WhatsApp,Hva skjer,
