Action,Działanie,
App Name,Nazwa App,
Archived,W archiwum,
Avatar,Avatar,
Call,Połączenie,
Chat,Czat,
Client,Klient,
Compact Item Print,Compact Element Drukuj,
Consultant,Konsultant,
Country,Kraj,
Email,E-mail,
Employee Name,Nazwisko pracownika,
Error Message,Komunikat o błędzie,
Facebook,Facebook,
First Name,Imię,
High,Wysoki,
In Progress,W trakcie,
Is Billing Contact,Jest kontaktem ds. Rozliczeń,
Is Your Company Address,Czy Twój adres firmy,
Keyboard Shortcuts,Skróty klawiszowe,
Last Name,Nazwisko,
Lost,Straty,
Low,Niski,
Middle Name,Drugie imię,
New,Nowy,
Normal,Normalna,
Notes,Notatki,
On Hold,W oczekiwaniu,
Phone,Telefon,
Print UOM after Quantity,Drukuj UOM po Quantity,
Print taxes with zero amount,Drukowanie podatków z zerową kwotą,
Priority,Priorytet,
Project Name,Nazwa Projektu,
Qualification,Kwalifikacja,
Reload,Przeładuj,
SMS,SMS,
Scheduled,Zaplanowane,
Service,Usługa,
Session Defaults,Domyślne ustawienia sesji,
Sync,Synchronizuj,
System Manager,System Manager,
Tax Category,Kategoria podatku,
Title,Tytuł,
Topic,Temat,
Urgent,Pilne,
View Website,Zobacz stronę WWW,
Web Form,Formularz,
WhatsApp,WhatsApp,
