Action,Ação,
App Name,Nome do App,
Archived,Arquivada,
Avatar,Avatar,
Call,Chamada Telefônica,
Chat,Chat,
Client,Cliente,
Compact Item Print,Imprimir Item no Formato Compacto,
Consultant,Consultor,
Country,País,
Email,Email,
Employee Name,Nome do Colaborador,
Error Message,Mensagem de Erro,
Facebook,Facebook,
First Name,Nome,
High,Alto,
In Progress,Em Progresso,
Is Billing Contact,É contato de cobrança,
Is Your Company Address,É o seu endereço comercial,
Keyboard Shortcuts,Atalhos do teclado,
Last Name,Sobrenome,
Lost,Perdido,
Low,Baixo,
Middle Name,Nome do Meio,
New,Novo,
Normal,Normal,
Notes,Notas,
On Hold,Em Espera,
Phone,Telefone,
Print UOM after Quantity,Imprimir UOM após a quantidade,
Print taxes with zero amount,Imprima impostos com montante zero,
Priority,Prioridade,
Project Name,Nome do Projeto,
Qualification,Qualificação,
Reload,Recarregar,
SMS,SMS,
Scheduled,Agendado,
Service,Serviço,
Session Defaults,Padrões de Sessão,
Sync,Sincronizar,
System Manager,Administrador do Sistema,
Tax Category,Categoria de Impostos,
Title,Título,
Topic,Tópico,
Urgent,Urgente,
View Website,Ver  Site,
Web Form,Formulário Web,
WhatsApp,Whatsapp,
