Action,කටයුතු,
App Name,යෙදුම නම,
Archived,සංරක්ෂණය,
Avatar,අවතාර්,
Call,ඇමතුම්,
Chat,චැට්,
Client,සේවාලාභියා,
Compact Item Print,සංයුක්ත අයිතමය මුද්රණය,
Consultant,උපදේශක,
Country,රට,
Email,විද්යුත් තැපෑල,
Employee Name,සේවක නම,
Error Message,දෝෂ පණිවිඩය,
Facebook,ෆේස්බුක්,
First Name,මුල් නම,
High,අධි,
In Progress,ප්රගතියේ,
Is Billing Contact,බිල් කිරීමේ සම්බන්ධතා වේ,
Is Your Company Address,ඔබේ සමාගම ලිපිනය වේ,
Keyboard Shortcuts,යතුරුපුවරු කෙටිමං,
Last Name,අවසන් නම,
Lost,අහිමි,
Low,අඩු,
Middle Name,මැද නම,
New,අලුත්,
Normal,සාමාන්ය,
Notes,සටහන්,
On Hold,රඳවා ගත්,
Phone,දුරකථන,
Print UOM after Quantity,ප්‍රමාණයෙන් පසු UOM මුද්‍රණය කරන්න,
Print taxes with zero amount,ශුන්ය මුදල සමඟ බදු අය කරන්න,
Priority,ප්රමුඛ,
Project Name,ව්යාපෘතියේ නම,
Qualification,සුදුසුකම්,
Reload,රීලෝඩ්,
SMS,කෙටි පණිවිඩ,
Scheduled,නියමිත,
Service,සේවය,
Session Defaults,සැසි පෙරනිමි,
Sync,සමමුහුර්ත කරන්න,
System Manager,පද්ධතිය කළමනාකරු,
Tax Category,බදු කාණ්ඩය,
Title,ශීර්ෂය,
Topic,මාතෘකාව,
Urgent,හදිසි,
View Website,දැක්ම වෙබ් අඩවිය,
Web Form,වෙබ් ආකෘති පත්රය,
WhatsApp,WhatsApp,
