Action,Akce,
App Name,Názov aplikácie,
Archived,Archivovaných,
Avatar,Avatar,
Call,Volanie,
Chat,Čet,
Client,Klient,
Compact Item Print,Tlačiť položku kompaktne,
Consultant,Konzultant,
Country,Krajina,
Email,e-mail,
Employee Name,Meno zamestnanca,
Error Message,Chybná správa,
Facebook,Facebook,
First Name,Meno,
High,Vysoké,
In Progress,Pokrok,
Is Billing Contact,Je fakturačný kontakt,
Is Your Company Address,Je vaša firma adresa,
Keyboard Shortcuts,Klávesové skratky,
Last Name,Priezvisko,
Lost,Ztracený,
Low,Nízké,
Middle Name,Stredné meno,
New,Nový,
Normal,normálne,
Notes,Poznámky,
On Hold,Podržanie,
Phone,Telefón,
Print UOM after Quantity,Tlač MJ po množstve,
Print taxes with zero amount,Tlačiť dane s nulovou čiastkou,
Priority,Priorita,
Project Name,Názov projektu,
Qualification,Kvalifikace,
Reload,Znovu načítať,
SMS,SMS,
Scheduled,Plánované,
Service,Služba,
Session Defaults,Predvolené hodnoty relácie,
Sync,sync,
System Manager,Správca systému,
Tax Category,Daňová kategória,
Title,Názov,
Topic,téma,
Urgent,Naléhavý,
View Website,Prejsť na webstránku,
Web Form,Webový formulář,
WhatsApp,WhatsApp,
