Action,Veprim,
App Name,Emri app,
Archived,Arkivuar,
Avatar,Avatar,
Call,Thirrje,
Chat,Bisedë,
Client,Klient,
Compact Item Print,Compact Item Print,
Consultant,Konsulent,
Country,Vend,
Email,Email,
Employee Name,Emri punonjës,
Error Message,Mesazh gabimi,
Facebook,Facebook,
First Name,Emri,
High,I lartë,
In Progress,Në progres,
Is Billing Contact,A është kontakti i faturimit,
Is Your Company Address,Është kompania juaj Adresa,
Keyboard Shortcuts,Shkurtoret e tastierës,
Last Name,Mbiemër,
Lost,i humbur,
Low,Ulët,
Middle Name,emri i dytë,
New,I ri,
Normal,normal,
Notes,Shënime,
On Hold,Ne pritje,
Phone,Telefon,
Print UOM after Quantity,Shtypni UOM pas Sasisë,
Print taxes with zero amount,Printoni taksat me shumën zero,
Priority,Prioritet,
Project Name,Emri i Projektit,
Qualification,kualifikim,
Reload,Rifresko,
SMS,SMS,
Scheduled,Planifikuar,
Service,Shërbim,
Session Defaults,Default Seanca,
Sync,Sync,
System Manager,Sistemi Menaxher,
Tax Category,Kategoria e Taksave,
Title,titull,
Topic,temë,
Urgent,Urgjent,
View Website,Shikoni faqen e internetit,
Web Form,Forma Web,
WhatsApp,WhatsApp,
