About,O Nama,
Action,Акција,
App Name,Имя приложения,
Archived,Архивирано,
Avatar,Аватар,
Call,Позив,
Chat,Poruke,
Client,Клијент,
Compact Item Print,Компактан артикла Штампа,
Consultant,Консултант,
Country,Država,
Documentation,Dokumentacija,
Email,Email,
Employee Name,Запослени Име,
Error Message,Порука о грешци,
Facebook,facebook,
First Name,Ime,
High,Visok,
In Progress,У току,
Is Billing Contact,Да ли је контакт за наплату,
Is Your Company Address,Ис Иоур Адреса фирме,
Keyboard Shortcuts,Пречице на тастатури,
Last Name,Prezime,
Lost,изгубљен,
Low,Nizak,
Middle Name,Средње име,
My Settings,Moja podešavanja,
New,Novi,
Normal,Нормално,
Notes,Bilješke,
On Hold,На чекању,
Phone,Телефон,
Print UOM after Quantity,Одштампај УОМ након количине,
Print taxes with zero amount,Штампај порез са нултим износом,
Priority,Приоритет,
Project Name,Назив пројекта,
Qualification,Квалификација,
Reload,Učitaj ponovo,
SMS,СМС,
Scheduled,Планиран,
Service,служба,
Session Defaults,Задане поставке сесије,
Sync,Синхронизовати,
System Manager,Menadžer sistema,
Tax Category,Пореска категорија,
Timezone,Vremenska zona,
Title,Naslov,
Topic,тема,
Urgent,Хитан,
View Website,Pogledaj sajt,
Web Form,Веб формулар,
WhatsApp,ВхатсАпп,
