Action,Акција,
App Name,Имя приложения,
Archived,Архивирано,
Avatar,Аватар,
Call,Позив,
Chat,Ћаскање,
Client,Клијент,
Compact Item Print,Компактан артикла Штампа,
Consultant,Консултант,
Country,Земља,
Email,Емаил,
Employee Name,Запослени Име,
Error Message,Порука о грешци,
Facebook,facebook,
First Name,Име,
High,Висок,
In Progress,У току,
Is Billing Contact,Да ли је контакт за наплату,
Is Your Company Address,Ис Иоур Адреса фирме,
Keyboard Shortcuts,Пречице на тастатури,
Last Name,Презиме,
Lost,изгубљен,
Low,Низак,
Middle Name,Средње име,
New,Нова,
Normal,Нормално,
Notes,Белешке,
On Hold,На чекању,
Phone,Телефон,
Print UOM after Quantity,Одштампај УОМ након количине,
Print taxes with zero amount,Штампај порез са нултим износом,
Priority,Приоритет,
Project Name,Назив пројекта,
Qualification,Квалификација,
Reload,Релоад,
SMS,СМС,
Scheduled,Планиран,
Service,служба,
Session Defaults,Задане поставке сесије,
Sync,Синхронизовати,
System Manager,Систем менаџер,
Tax Category,Пореска категорија,
Title,Наслов,
Topic,тема,
Urgent,Хитан,
View Website,Погледај Сајт,
Web Form,Веб формулар,
WhatsApp,ВхатсАпп,
