About,Om,
Action,Åtgärd,
App Name,App Namn,
Apps,Appar,
Archived,Arkiverad,
Avatar,Avatar,
Call,Samtal,
Chat,Chatta,
Client,Klient,
Compact Item Print,Kompakt Produkttryck,
Consultant,Konsult,
Country,Land,
Created At,Skapad,
Email,E-post,
Employee Name,Anställd Namn,
Error Message,Felmeddelande,
Facebook,Facebook,
First Name,Förnamn,
Frappe Support,Frappe Support,
High,Hög,
In Progress,Pågående,
Instruction,Instruktion,
Internal,Intern,
Is Billing Contact,Är faktureringskontakt,
Is Your Company Address,Är ditt Företag Adress,
Keyboard Shortcuts,Kort Kommando,
Last Name,Efternamn,
Log out,Logga Ut,
Lost,Förlorade,
Low,Låg,
Middle Name,Mellannamn,
My Profile,Min Profil,
My Settings,Mina Inställningar,
New,Ny,
Normal,Vanligt,
Notes,Anmärkningar,
On Hold,Placerad i kö,
Phone,Telefon,
Print UOM after Quantity,Skriv UOM efter kvantitet,
Print taxes with zero amount,Skriv ut skatter med nollbelopp,
Priority,Prioritet,
Project Name,Projektnamn,
Qualification,Kvalifikation,
Reload,Ladda om,
SMS,SMS,
Scheduled,Planerad,
Service,Tjänsten,
Session Defaults,Session Inställningar,
Sync,Synkronisera,
System Manager,System Manager,
Tax Category,Skatt kategori,
Title,Titel,
Toggle Full Width,Växla Full Bredd,
Toggle Theme,Växla Tema,
Topic,Ämne,
Urgent,Brådskande,
View Website,Visa Webbplats,
Web Form,Webbformulär,
WhatsApp,WhatsApp,
