Action,Hatua,
App Name,Jina la App,
Archived,Imehifadhiwa,
Avatar,Avatar,
Call,Wito,
Chat,Ongea,
Client,Mteja,
Compact Item Print,Print Compact Item,
Consultant,Mshauri,
Country,Nchi,
Email,Barua pepe,
Employee Name,Jina la Waajiriwa,
Error Message,Ujumbe wa Kosa,
Facebook,Facebook,
First Name,Jina la kwanza,
High,Juu,
In Progress,Inaendelea,
Is Billing Contact,Ni Mawasiliano ya Bili,
Is Your Company Address,Ni Anwani ya Kampuni Yako,
Keyboard Shortcuts,Njia za mkato za kibodi,
Last Name,Jina la familia,
Lost,Potea,
Low,Chini,
Middle Name,Jina la kati,
New,Mpya,
Normal,Kawaida,
Notes,Vidokezo,
On Hold,Inashikilia,
Phone,Simu,
Print UOM after Quantity,Chapisha UOM baada ya Wingi,
Print taxes with zero amount,Chapisha kodi kwa kiasi cha sifuri,
Priority,Kipaumbele,
Project Name,Jina la mradi,
Qualification,Ustahili,
Reload,Pakia tena,
SMS,SMS,
Scheduled,Imepangwa,
Service,Huduma,
Session Defaults,Defavers ya Kikao,
Sync,Sawazisha,
System Manager,Meneja wa Mfumo,
Tax Category,Jamii ya Ushuru,
Title,Kichwa,
Topic,Mada,
Urgent,Haraka,
View Website,Tazama Tovuti,
Web Form,Fomu ya Mtandao,
WhatsApp,WhatsApp,
