Action,செயல்,
App Name,பயன்பாடு பெயர்,
Archived,காப்பகப்படுத்தியவை,
Avatar,சின்னம்,
Call,அழைப்பு,
Chat,அரட்டை,
Client,வாடிக்கையாளர்,
Compact Item Print,காம்பாக்ட் பொருள் அச்சு,
Consultant,பிறர் அறிவுரை வேண்டுபவர்,
Country,நாடு,
Email,மின்னஞ்சல்,
Employee Name,பணியாளர் பெயர்,
Error Message,பிழை செய்தி,
Facebook,முகபுத்தகம்,
First Name,முதல் பெயர்,
High,உயர்,
In Progress,முன்னேற்றம்,
Is Billing Contact,பில்லிங் தொடர்பு,
Is Your Company Address,உங்கள் நிறுவனத்தின் முகவரி,
Keyboard Shortcuts,விசைப்பலகை குறுக்குவழிகள்,
Last Name,கடந்த பெயர்,
Lost,லாஸ்ட்,
Low,குறைந்த,
Middle Name,மத்திய பெயர்,
New,புதியது,
Normal,இயல்பான,
Notes,குறிப்புகள்,
On Hold,பிடி,
Phone,தொலைபேசி,
Print UOM after Quantity,அளவுக்குப் பிறகு UOM ஐ அச்சிடுக,
Print taxes with zero amount,பூஜ்யம் அளவு கொண்ட வரிகளை அச்சிடு,
Priority,முதன்மை,
Project Name,திட்டம் பெயர்,
Qualification,தகுதி,
Reload,Reload,
SMS,எஸ்எம்எஸ்,
Scheduled,திட்டமிடப்பட்ட,
Service,சேவை,
Session Defaults,அமர்வு இயல்புநிலைகள்,
Sync,ஒத்திசைவு,
System Manager,கணினி மேலாளர்,
Tax Category,வரி வகை,
Title,தலைப்பு,
Topic,தலைப்பு,
Urgent,அவசரமான,
View Website,இணையத்தளம் பார்வையிட,
Web Form,வலை படிவம்,
WhatsApp,பகிரி,
