Action,యాక్షన్,
App Name,App పేరు,
Archived,బధ్రపరచబడింది,
Avatar,Avatar,
Call,కాల్,
Chat,చాట్,
Client,క్లయింట్,
Compact Item Print,కాంపాక్ట్ అంశం ప్రింట్,
Consultant,కన్సల్టెంట్,
Country,దేశం,
Email,ఇమెయిల్,
Employee Name,ఉద్యోగి పేరు,
Error Message,లోపం సందేశం,
Facebook,ఫేస్బుక్,
First Name,మొదటి పేరు,
High,హై,
In Progress,ప్రోగ్రెస్లో ఉంది,
Is Billing Contact,బిల్లింగ్ పరిచయం,
Is Your Company Address,మీ కంపెనీ అడ్రస్ ఇస్,
Keyboard Shortcuts,కీబోర్డ్ సత్వరమార్గాలు,
Last Name,చివరి పేరు,
Lost,లాస్ట్,
Low,తక్కువ,
Middle Name,మధ్య పేరు,
New,న్యూ,
Normal,సాధారణ,
Notes,గమనికలు,
On Hold,హోల్డ్ ఆన్,
Phone,ఫోన్,
Print UOM after Quantity,పరిమాణం తర్వాత UOM ను ముద్రించండి,
Print taxes with zero amount,సున్నా మొత్తాన్ని పన్నులను ముద్రించండి,
Priority,ప్రాధాన్య,
Project Name,ప్రాజెక్ట్ పేరు,
Qualification,అర్హతలు,
Reload,Reload,
SMS,SMS,
Scheduled,షెడ్యూల్డ్,
Service,సర్వీస్,
Session Defaults,సెషన్ డిఫాల్ట్‌లు,
Sync,సమకాలీకరణ,
System Manager,వ్యవస్థ మేనేజర్,
Tax Category,పన్ను వర్గం,
Title,శీర్షిక,
Topic,టాపిక్,
Urgent,అర్జంట్,
View Website,చూడండి వెబ్సైట్,
Web Form,వెబ్ ఫారం,
WhatsApp,వాట్సాప్,
