Action,ดำเนินการ,
App Name,ชื่อ แอพพลิเคชั่น,
Archived,เก็บไว้,
Avatar,รูปส่วนตัว,
Call,โทรศัพท์,
Chat,พูดคุย,
Client,ลูกค้า,
Compact Item Print,ขนาดกะทัดรัดรายการพิมพ์,
Consultant,ผู้ให้คำปรึกษา,
Country,ประเทศ,
Email,อีเมล,
Employee Name,ชื่อของพนักงาน,
Error Message,ข้อความผิดพลาด,
Facebook,Facebook,
First Name,ชื่อแรก,
High,สูง,
In Progress,กำลังดำเนินการ,
Is Billing Contact,เป็นผู้ติดต่อเรียกเก็บเงิน,
Is Your Company Address,คือที่อยู่ บริษัท ของคุณ,
Keyboard Shortcuts,แป้นพิมพ์ลัด,
Last Name,นามสกุล,
Lost,สูญหาย,
Low,ต่ำ,
Middle Name,ชื่อกลาง,
New,ใหม่,
Normal,ปกติ,
Notes,บันทึก,
On Hold,ระงับ,
Phone,โทรศัพท์,
Print UOM after Quantity,พิมพ์ UOM หลังจำนวน,
Print taxes with zero amount,พิมพ์ภาษีที่มีจำนวนเป็นศูนย์,
Priority,บุริมสิทธิ์,
Project Name,ชื่อโครงการ,
Qualification,คุณสมบัติ,
Reload,โหลด,
SMS,ข้อความ,
Scheduled,กำหนด,
Service,ให้บริการ,
Session Defaults,ค่าเริ่มต้นของเซสชัน,
Sync,ซิงค์,
System Manager,จัดการระบบ,
Tax Category,ประเภทภาษี,
Title,ชื่อเรื่อง,
Topic,กระทู้,
Urgent,ด่วน,
View Website,ดูเว็บไซต์,
Web Form,เว็บฟอร์ม,
WhatsApp,WhatsApp,
