About,Hakkında,
Action,İşlem,
Agent,Temsilci,
App Name,Uygulama İsmi,
Apps,Uygulamalar,
Archived,Arşivlendi,
Avatar,Profil Resmi,
Chat,Sohbet,
Client,Müşteri,
Compact Item Print,Kompakt Öğe Yazdır,
Consultant,Danışman,
Country,Ülke,
Created At,Oluşturulma Zamanı,
Documentation,Dokümantasyon,
Email,E-posta,
Employee Name,Personel Adı,
Error Message,Hata mesajı,
Facebook,Facebook,
First Name,Adı,
Frappe Support,Frappe Desteği,
High,Yüksek,
In Progress,Devam ediyor,
Instruction,Talimat,
Keyboard Shortcuts,Klavye Kısayolları,
Last Name,Soyadı,
Log out,Çıkış,
Lost,Kaybedildi,
Low,Düşük,
Middle Name,İkinci Adı,
My Profile,Profilim,
My Settings,Ayarlarım,
New,Yeni,
Normal,Normal,
Notes,Notlar,
On Hold,Beklemede,
Phone,Telefon,
Print UOM after Quantity,Birimi Miktardan Sonra Yazdır,
Print taxes with zero amount,Vergileri sıfır tutarla yazdır,
Priority,Öncelik,
Project Name,Proje Adı,
Qualification,Yeterlilik,
Reload,Yeniden Yükle,
SMS,SMS,
Scheduled,Planlandı,
Service,Hizmet,
Session Defaults,Oturum Varsayılanları,
Sync,Senkronizasyon,
System Manager,Sistem Yöneticisi,
Tax Category,Vergi Kategorisi,
Title,Başlık,
Toggle Full Width,Geniş Görünüm,
Toggle Theme,Temayı Değiştir,
Urgent,Acil,
View Website,Websitesine Git,
Web Form,Web Formu,
WhatsApp,WhatsApp,
