Action,ایکشن,
App Name,اپلی کیشن کا نام,
Archived,نوٹسز,
Avatar,اوتار,
Call,کال,
Chat,چیٹ,
Client,کلائنٹ,
Compact Item Print,کومپیکٹ آئٹم تعداد,
Consultant,کنسلٹنٹ,
Country,ملک,
Email,ای میل,
Employee Name,ملازم کا نام,
Error Message,خرابی کا پیغام۔,
Facebook,فیس بک,
First Name,نام,
High,ہائی,
In Progress,کام جاری ہے,
Is Billing Contact,بلنگ سے رابطہ ہے,
Is Your Company Address,آپ کی کمپنی ایڈریس ہے,
Keyboard Shortcuts,کی بورڈ شارٹ کٹس,
Last Name,آخری نام,
Lost,کھو,
Low,کم,
Middle Name,درمیانی نام,
New,نئی,
Normal,عمومی,
Notes,نوٹس,
On Hold,پکڑو,
Phone,فون,
Print UOM after Quantity,مقدار کے بعد UOM پرنٹ کریں,
Print taxes with zero amount,صفر کے ساتھ ٹیکس پرنٹ کریں,
Priority,ترجیح,
Project Name,پراجیکٹ کا نام,
Qualification,اہلیت,
Reload,دوبارہ,
SMS,پیغام,
Scheduled,تخسوچت,
Service,سروس,
Session Defaults,سیشن ڈیفالٹس,
Sync,ہم آہنگی,
System Manager,سسٹم مینیجر,
Tax Category,ٹیکس کیٹیگری۔,
Title,عنوان,
Topic,موضوع,
Urgent,ارجنٹ,
View Website,سائٹ,
Web Form,ویب فارم,
WhatsApp,واٹس ایپ,
