About,关于,
Action,行动,
App Name,应用名称,
Apps,应用,
Archived,已归档,
Avatar,头像,
Call,调用,
Chat,聊天,
Client,客户,
Compact Item Print,紧凑型项目打印,
Consultant,顾问,
Country,国家,
Created At,创建于,
Email,电子邮件,
Employee Name,员工姓名,
Error Message,错误信息,
Facebook,Facebook,
First Name,名,
Frappe Support,Frappe支持,
High,高,
In Progress,进行中,
Instruction,说明,
Is Billing Contact,帐单联络人,
Is Your Company Address,是你的公司地址,
Keyboard Shortcuts,键盘快捷键,
Last Name,姓,
Log out,注销,
Lost,遗失,
Low,低,
Middle Name,中间名,
My Profile,我的档案,
My Settings,我的设置,
New,新,
Normal,正常,
Notes,便签,
On Hold,暂缓处理,
Phone,电话,
Print UOM after Quantity,数量后打印UOM,
Print taxes with zero amount,打印零金额的税,
Priority,优先,
Project Name,项目名称,
Qualification,资历,
Reload,重新加载,
SMS,短信,
Scheduled,已计划,
Service,服务,
Session Defaults,会话默认值,
Sync,同步,
System Manager,系统管理员,
Tax Category,税种,
Title,标题,
Toggle Full Width,切换全宽模式,
Toggle Theme,切换主题,
Topic,主题,
Urgent,加急,
View Website,查看网站,
Web Form,网页表单,
WhatsApp,WhatsApp的,
